Evento,Fecha,HoraUTC,HoraLocal,Latitud,Longitud,Profundidad,Magnitud,Tipo_Magnitud,Intensidad,Localizacion,Imagen
es2021tlxgv,04/10/2021,20:00:19,21:00:19,28.5592,-17.8189,16,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tlvgc,04/10/2021,18:58:51,19:58:51,28.5679,-17.8423,10,3.7,mbLg,III-IV,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlvco,04/10/2021,18:54:42,19:54:42,28.5645,-17.7825,35,3.2,mbLg,III,S VILLA DE MAZO.ILP,NA
es2021tluxx,04/10/2021,18:49:17,19:49:17,28.5649,-17.8348,10,3.2,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tltbp,04/10/2021,17:52:58,18:52:58,28.5622,-17.8297,10,2.9,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tlsqk,04/10/2021,17:39:57,18:39:57,28.5654,-17.8270,11,3.0,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tlsjm,04/10/2021,17:31:52,18:31:52,28.5643,-17.8203,12,3.4,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tlrrb,04/10/2021,17:10:38,18:10:38,28.5661,-17.8496,10,2.9,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlqyp,04/10/2021,16:48:49,17:48:49,28.5610,-17.8477,10,3.0,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlqcf,04/10/2021,16:22:45,17:22:45,28.5644,-17.8564,10,2.4,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlpln,04/10/2021,16:03:18,17:03:18,28.5518,-17.8417,12,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tlnld,04/10/2021,15:02:15,16:02:15,28.5560,-17.8412,14,3.0,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tlmva,04/10/2021,14:43:26,16:43:26,37.0487,-5.3210,1,3.1,mbLg,III,NW PRUNA.SE,NA
es2021tlmkh,04/10/2021,14:30:59,15:30:59,28.5651,-17.8290,11,3.7,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tllua,04/10/2021,14:11:59,15:11:59,28.5601,-17.8502,9,2.5,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tlgeh,04/10/2021,11:22:07,12:22:07,28.5644,-17.8230,12,3.4,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tlfap,04/10/2021,10:47:31,11:47:31,28.5942,-17.8286,10,2.6,mbLg,II,W VILLA DE MAZO.ILP,NA
es2021tlewx,04/10/2021,10:43:10,11:43:10,28.5554,-17.8341,14,3.1,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tldif,04/10/2021,09:55:46,10:55:46,28.5497,-17.8367,14,3.1,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tlcsv,04/10/2021,09:37:49,10:37:49,28.5959,-17.8179,30,3.1,mbLg,II,W VILLA DE MAZO.ILP,NA
es2021tlbkt,04/10/2021,08:58:08,09:58:08,28.5605,-17.8313,12,2.8,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkzmu,04/10/2021,07:59:57,08:59:57,28.5534,-17.8410,13,3.2,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkzbj,04/10/2021,07:46:32,08:46:32,28.5637,-17.8321,12,3.3,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tkyqo,04/10/2021,07:33:59,08:33:59,28.5537,-17.8371,11,3.3,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkxfz,04/10/2021,06:51:19,07:51:19,28.5569,-17.8406,11,2.7,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkwzw,04/10/2021,06:44:11,07:44:11,28.5663,-17.8216,14,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tkwfl,04/10/2021,06:20:23,07:20:23,28.5595,-17.8193,13,3.4,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tkvoz,04/10/2021,06:01:12,07:01:12,28.5605,-17.8277,13,3.0,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkvap,04/10/2021,05:44:27,06:44:27,28.5640,-17.8393,12,3.0,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkutl,04/10/2021,05:36:08,06:36:08,28.5535,-17.8302,14,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkuhg,04/10/2021,05:21:55,06:21:55,28.5666,-17.8324,11,2.8,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tkpbj,04/10/2021,02:43:29,03:43:29,28.5429,-17.8494,13,2.9,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tkiqv,03/10/2021,23:29:22,00:29:22,28.5842,-17.8249,10,2.4,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tkigr,03/10/2021,23:17:34,00:17:34,28.5562,-17.8402,13,3.2,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkhxz,03/10/2021,23:07:22,00:07:22,28.5592,-17.8463,12,3.4,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tkhqh,03/10/2021,22:58:26,23:58:26,28.5592,-17.8407,12,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkfye,03/10/2021,22:06:59,23:06:59,28.5570,-17.8451,10,3.4,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tkeuv,03/10/2021,21:32:47,22:32:47,28.5592,-17.8264,12,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tkbps,03/10/2021,19:55:53,21:55:53,36.5678,-5.4005,3,1.7,mbLg,II,SW CORTES DE LA FRONTERA.MA,NA
es2021tkagc,03/10/2021,19:14:37,20:14:37,28.5629,-17.8261,12,3.7,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tjyfl,03/10/2021,18:13:02,19:13:02,28.5723,-17.8396,13,2.9,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tjtsz,03/10/2021,15:57:19,16:57:19,28.1983,-16.4803,16,1.6,mbLg,I-II,N ARICO.ITF,NA
es2021tjrwp,03/10/2021,15:00:51,16:00:51,28.5207,-17.8039,30,2.7,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tiuqa,03/10/2021,03:16:08,04:16:08,28.5542,-17.8306,14,3.5,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021timnk,02/10/2021,23:10:35,01:10:35,37.9006,-5.0307,2,2.1,mbLg,II-III,N ALMODÓVAR DEL RÍO.CO,NA
es2021tieyx,02/10/2021,19:21:32,20:21:32,28.5684,-17.7934,36,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tiehj,02/10/2021,19:01:06,20:01:06,28.5046,-17.8029,23,2.4,mbLg,I-II,E FUENCALIENTE DE LA PALMA.ILP,NA
es2021tidlx,02/10/2021,18:36:30,19:36:30,28.5591,-17.8411,13,3.1,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
